sensorname,timeline,humidity,lat,lng
Huntington,2022-06-22 18:52:39.540,2.2688,40.8810,-85.5063
La Vista,2022-06-22 18:52:40.633,3.9008,41.1816,-96.0664
South Ogden,2022-06-22 18:52:53.713,5.4112,41.1722,-111.9576
Camano,2022-06-22 18:53:09.863,0.528,48.1865,-122.4708
Bristol,2022-06-22 18:52:36.250,1.6352,36.6181,-82.1604
Mount Pleasant,2022-06-22 18:52:53.037,1.1456,33.1586,-94.9727
Winder,2022-06-22 18:52:47.993,1.5392,33.9917,-83.7218
East Cleveland,2022-06-22 18:52:32.970,6.8288,41.5317,-81.5794
Pinewood,2022-06-22 18:53:01.437,12.0128,25.8697,-80.2174
Calverton,2022-06-22 18:53:03.817,4.5984,39.0578,-76.9488
Siloam Springs,2022-06-22 18:52:47.657,1.8272,36.1844,-94.5315
Woodmere,2022-06-22 18:52:37.653,8.1472,40.6375,-73.7219
Lake Mary,2022-06-22 18:52:47.460,2.3104,28.7592,-81.3360
La Marque,2022-06-22 18:52:53.343,1.5232,29.3683,-94.9941
Poplar Bluff,2022-06-22 18:52:42.307,1.5936,36.7632,-90.4135
Ojus,2022-06-22 18:53:01.113,7.9136,25.9563,-80.1606
Phoenixville,2022-06-22 18:52:33.803,5.968,40.1359,-75.5201
Oconomowoc,2022-06-22 18:52:35.397,1.7792,43.0996,-88.4948
Clemson,2022-06-22 18:52:46.997,2.768,34.6837,-82.8124
Nocatee,2022-06-22 18:53:01.177,0.7776,30.0927,-81.4095
Boerne,2022-06-22 18:52:51.993,1.7888,29.7847,-98.7292
Stafford,2022-06-22 18:52:54.587,2.976,29.6271,-95.5654
Moraga,2022-06-22 18:52:54.907,2.2048,37.8439,-122.1225
Wayne,2022-06-22 18:52:34.217,3.4656,42.2774,-83.3877
Norcross,2022-06-22 18:52:47.113,3.3888,33.9379,-84.2065
Norwalk,2022-06-22 18:52:33.187,2.3488,41.2443,-82.6088
Lansdale,2022-06-22 18:52:36.073,6.9536,40.2417,-75.2812
Goodlettsville,2022-06-22 18:52:45.717,1.44,36.3330,-86.7026
Danville,2022-06-22 18:52:46.723,1.2064,37.6418,-84.7777
Knightdale,2022-06-22 18:52:48.563,2.6112,35.7911,-78.4966
Bull Run,2022-06-22 18:52:38.463,7.9392,38.7802,-77.5204
Clayton,2022-06-22 18:52:39.810,8.256,38.6444,-90.3303
Seven Oaks,2022-06-22 18:53:08.220,2.7008,34.0475,-81.1435
Defiance,2022-06-22 18:52:39.503,1.632,41.2813,-84.3657
Seagoville,2022-06-22 18:52:54.423,1.0976,32.6530,-96.5456
Cohoes,2022-06-22 18:52:32.787,5.4688,42.7732,-73.7077
Farmingville,2022-06-22 18:52:37.380,4.928,40.8390,-73.0404
Sunnyside,2022-06-22 18:52:53.520,2.7424,46.3157,-120.0058
Highland Village,2022-06-22 18:52:53.007,3.728,33.0897,-97.0615
Opelousas,2022-06-22 18:52:47.383,2.1312,30.5252,-92.0816
Pendleton,2022-06-22 18:52:52.287,1.7984,45.6757,-118.8201
Tahlequah,2022-06-22 18:52:54.070,1.6256,35.9112,-94.9770
North Myrtle Beach,2022-06-22 18:52:47.087,0.9728,33.8232,-78.7082
Mount Vernon,2022-06-22 18:52:33.713,2.1184,40.3854,-82.4737
Truckee,2022-06-22 18:52:54.833,0.6368,39.3455,-120.1848
Sikeston,2022-06-22 18:52:42.290,1.2,36.8854,-89.5877
Madison,2022-06-22 18:52:35.943,4.768,40.7586,-74.4169
McKinleyville,2022-06-22 18:52:49.857,0.9824,40.9488,-124.0857
Ham Lake,2022-06-22 18:52:39.090,0.5952,45.2545,-93.2039
Waterville,2022-06-22 18:52:32.677,1.5168,44.5441,-69.6624
Camp Pendleton South,2022-06-22 18:53:46.273,2.9536,33.2329,-117.3930
Dallas,2022-06-22 18:52:50.960,4.1824,44.9221,-123.3130
Easton,2022-06-22 18:52:38.460,1.7856,38.7760,-76.0701
Laconia,2022-06-22 18:52:35.053,1.0304,43.5725,-71.4775
El Segundo,2022-06-22 18:52:52.850,3.7472,33.9170,-118.4018
Republic,2022-06-22 18:52:42.277,1.312,37.1452,-93.4446
Aberdeen,2022-06-22 18:52:50.817,1.8816,46.9757,-123.8094
Lemay,2022-06-22 18:52:38.490,4.9888,38.5325,-90.2845
Country Club Hills,2022-06-22 18:52:39.397,4.1152,41.5636,-87.7251
Mercedes,2022-06-22 18:52:53.397,1.7312,26.1533,-97.9128
Gainesville,2022-06-22 18:52:52.943,1.0592,33.6390,-97.1487
Washington,2022-06-22 18:52:42.747,2.3936,40.7050,-89.4340
South Venice,2022-06-22 18:52:46.550,3.4336,27.0444,-82.4155
New Port Richey,2022-06-22 18:52:47.473,4.496,28.2468,-82.7170
Vienna,2022-06-22 18:52:36.200,4.6368,38.8996,-77.2597
Roosevelt,2022-06-22 18:52:37.623,11.5296,40.6797,-73.5837
Morganton,2022-06-22 18:52:46.873,1.0592,35.7408,-81.7002
Lake Wales,2022-06-22 18:52:47.477,1.0816,27.9195,-81.5961
Live Oak,2022-06-22 18:54:56.430,6.288,36.9860,-121.9804
East Highland Park,2022-06-22 18:52:38.757,2.32,37.5770,-77.3865
Hillcrest Heights,2022-06-22 18:52:38.327,8.1952,38.8373,-76.9641
Wolf Trap,2022-06-22 18:52:38.413,2.0832,38.9395,-77.2842
Four Corners,2022-06-22 18:53:07.093,8.2976,44.9290,-122.9732
Buda,2022-06-22 18:52:51.977,2.192,30.0758,-97.8487
Menomonie,2022-06-22 18:53:10.357,1.4848,44.8893,-91.9084
New Milford,2022-06-22 18:52:33.277,8.9152,40.9337,-74.0196
Artesia,2022-06-22 18:52:51.593,12.544,33.8676,-118.0805
Hazel Park,2022-06-22 18:52:34.813,7.2128,42.4619,-83.0977
Streetsboro,2022-06-22 18:52:33.177,0.864,41.2396,-81.3456
Wahiawa,2022-06-22 18:53:01.920,8.8736,21.5012,-158.0178
Troutdale,2022-06-22 18:52:53.580,3.4144,45.5372,-122.3955
Steiner Ranch,2022-06-22 18:54:54.820,3.056,30.3654,-97.8960
Palmetto Estates,2022-06-22 18:53:01.433,9.3984,25.6211,-80.3616
Buffalo,2022-06-22 18:52:39.073,2.6112,45.1794,-93.8644
Vincent,2022-06-22 18:53:47.057,13.76,34.0983,-117.9238
Ammon,2022-06-22 18:52:51.013,2.6528,43.4745,-111.9568
East Riverdale,2022-06-22 18:53:03.853,12.5376,38.9600,-76.9109
Storrs,2022-06-22 18:52:35.647,2.7168,41.8083,-72.2514
Gainesville,2022-06-22 18:52:38.467,2,38.7931,-77.6347
Fort Hunt,2022-06-22 18:52:38.380,3.4592,38.7361,-77.0589
Pinehurst,2022-06-22 18:52:50.223,1.2096,35.1922,-79.4684
Donna,2022-06-22 18:52:52.103,2.4384,26.1468,-98.0559
Dyersburg,2022-06-22 18:52:45.743,1.1648,36.0465,-89.3777
Cañon City,2022-06-22 18:52:51.227,1.632,38.4430,-105.2203
Red Wing,2022-06-22 18:52:41.330,0.5792,44.5817,-92.6036
Adelphi,2022-06-22 18:52:38.313,7.4432,39.0017,-76.9649
Heber,2022-06-22 18:53:47.230,2.2464,40.5070,-111.3986
Lake St. Louis,2022-06-22 18:52:40.943,2.3648,38.7846,-90.7886
Pearl River,2022-06-22 18:52:37.337,2.9696,41.0615,-74.0047
Fort Thomas,2022-06-22 18:52:45.533,3.5552,39.0801,-84.4518
Coos Bay,2022-06-22 18:52:51.023,1.8976,43.3789,-124.2330
Chickasha,2022-06-22 18:52:51.540,0.8992,35.0409,-97.9474
Beaver Dam,2022-06-22 18:52:35.107,2.7552,43.4688,-88.8309
Lebanon,2022-06-22 18:52:40.757,1.296,40.0324,-86.4551
Aldine,2022-06-22 18:52:50.620,2.56,29.9123,-95.3784
Glassmanor,2022-06-22 18:52:56.917,8.6624,38.8181,-76.9833
New River,2022-06-22 18:52:51.677,0.3584,33.8835,-112.0858
Somerton,2022-06-22 18:52:54.367,2.768,32.6007,-114.6994
Douglas,2022-06-22 18:52:51.867,2.016,31.3602,-109.5394
Red Hill,2022-06-22 18:52:46.020,1.8208,33.7777,-79.0111
Parkway,2022-06-22 18:52:56.997,8.3488,38.4993,-121.4520
Stuart,2022-06-22 18:52:48.360,2.8512,27.1959,-80.2444
Westchester,2022-06-22 18:52:43.703,5.4464,41.8492,-87.8906
Southchase,2022-06-22 18:53:01.377,2.8992,28.3793,-81.3903
Shelbyville,2022-06-22 18:52:47.577,2.2752,38.2067,-85.2292
Fort Carson,2022-06-22 18:53:00.927,0.7168,38.7095,-104.7720
Beckley,2022-06-22 18:52:38.720,2.112,37.7877,-81.1841
Port Washington,2022-06-22 18:52:37.623,4.7712,40.8268,-73.6765
Brunswick,2022-06-22 18:52:46.247,1.1776,31.1449,-81.4746
Auburndale,2022-06-22 18:52:46.497,1.4784,28.0963,-81.8012
Fairview Park,2022-06-22 18:52:32.970,4.272,41.4419,-81.8530
Mount Clemens,2022-06-22 18:52:35.460,4.8928,42.5977,-82.8821
Hernando,2022-06-22 18:52:47.013,0.7904,34.8500,-89.9921
Stanford,2022-06-22 18:53:00.770,7.2768,37.4252,-122.1674
Griffith,2022-06-22 18:52:42.597,2.5728,41.5277,-87.4239
Los Osos,2022-06-22 18:52:50.177,1.5648,35.3065,-120.8242
Murraysville,2022-06-22 18:52:46.000,2.3168,34.2919,-77.8429
Waxhaw,2022-06-22 18:52:48.827,1.648,34.9363,-80.7439
Aurora,2022-06-22 18:52:33.177,0.8704,41.3118,-81.3450
Kaukauna,2022-06-22 18:52:34.773,2.5536,44.2773,-88.2641
Kings Park,2022-06-22 18:52:37.457,2.9888,40.8881,-73.2475
Sierra Vista Southeast,2022-06-22 18:53:46.770,0.1792,31.4525,-110.2160
Fairview Heights,2022-06-22 18:52:41.000,1.744,38.5974,-90.0053
Uvalde,2022-06-22 18:52:54.600,2.5984,29.2152,-99.7782
Live Oak,2022-06-22 18:52:53.330,4.1856,29.5545,-98.3404
Rio Linda,2022-06-22 18:52:51.213,2.0032,38.6875,-121.4417
Sulphur Springs,2022-06-22 18:52:54.400,0.9664,33.1421,-95.6122
Crawfordsville,2022-06-22 18:52:39.630,2.0512,40.0428,-86.8976
Harrisburg,2022-06-22 18:52:48.733,1.76,35.3125,-80.6485
Albemarle,2022-06-22 18:52:45.813,1.136,35.3594,-80.1915
Cullman,2022-06-22 18:52:33.723,0.9152,34.1775,-86.8407
Laguna Woods,2022-06-22 18:52:52.960,5.936,33.6099,-117.7299
Ripon,2022-06-22 18:52:52.633,3.7216,37.7417,-121.1310
Boulder City,2022-06-22 18:52:51.397,0.0928,35.8407,-114.9257
Millbrook,2022-06-22 18:52:47.247,1.4016,32.5027,-86.3737
Fort Mohave,2022-06-22 18:53:15.330,1.184,35.0004,-114.5748
Opa-locka,2022-06-22 18:52:47.527,4.5888,25.8997,-80.2551
Fremont,2022-06-22 18:52:33.023,2.32,41.3535,-83.1147
Buford,2022-06-22 18:52:46.047,1.088,34.1192,-83.9903
White Center,2022-06-22 18:53:10.097,8.6976,47.5086,-122.3479
Rossville,2022-06-22 18:53:03.767,3.6704,39.3572,-76.4767
Prospect Heights,2022-06-22 18:52:41.553,4.64,42.1039,-87.9267
Floral Park,2022-06-22 18:52:37.657,13.8912,40.7227,-73.7029
Cherryland,2022-06-22 18:53:00.730,16.5376,37.6792,-122.1038
Crowley,2022-06-22 18:52:51.800,2.6976,32.5781,-97.3585
Hope Mills,2022-06-22 18:52:48.807,2.4512,34.9710,-78.9597
Center Point,2022-06-22 18:52:47.160,3.1744,33.6447,-86.6852
Ukiah,2022-06-22 18:52:53.790,4.1216,39.1464,-123.2105
Fairburn,2022-06-22 18:52:46.033,1.1648,33.5496,-84.5914
Mount Holly,2022-06-22 18:52:46.960,1.7984,35.3136,-81.0073
Walnut Park,2022-06-22 18:52:51.587,26.2752,33.9682,-118.2220
New Haven,2022-06-22 18:52:40.633,1.664,41.0676,-85.0174
Dyer,2022-06-22 18:52:42.593,3.184,41.4977,-87.5090
Washougal,2022-06-22 18:52:53.560,3.3056,45.5825,-122.3451
Hibbing,2022-06-22 18:52:38.963,0.1056,47.3980,-92.9486
Indianola,2022-06-22 18:52:33.017,1.7376,41.3629,-93.5652
Cloverly,2022-06-22 18:53:03.637,1.952,39.1064,-76.9995
Sayville,2022-06-22 18:52:37.463,3.6992,40.7478,-73.0840
Grandville,2022-06-22 18:52:35.300,2.7104,42.9004,-85.7564
Aberdeen,2022-06-22 18:52:38.037,2.9792,39.5151,-76.1733
Discovery Bay,2022-06-22 18:52:51.267,3.5136,37.9063,-121.5990
Bellmore,2022-06-22 18:52:37.603,8.3168,40.6569,-73.5285
South River,2022-06-22 18:52:33.707,7.04,40.4455,-74.3783
River Falls,2022-06-22 18:52:34.660,2.7264,44.8609,-92.6247
North Decatur,2022-06-22 18:52:46.073,3.9808,33.8074,-84.2889
Long Beach,2022-06-22 18:52:48.283,1.9072,30.3608,-89.1651
Spanish Springs,2022-06-22 18:53:06.197,0.3488,39.6568,-119.6694
Humble,2022-06-22 18:52:53.297,2,29.9921,-95.2655
Los Lunas,2022-06-22 18:52:55.183,1.04,34.8115,-106.7803
Bellevue,2022-06-22 18:52:32.677,1.3632,44.4592,-87.9550
Villa Rica,2022-06-22 18:52:48.050,1.3312,33.7294,-84.9177
Morton,2022-06-22 18:52:44.360,1.5232,40.6135,-89.4669
Stallings,2022-06-22 18:52:50.247,2.3328,35.1088,-80.6598
Berea,2022-06-22 18:52:45.597,1.1776,37.5904,-84.2898
Dublin,2022-06-22 18:52:46.183,1.2224,32.5360,-82.9280
Warsaw,2022-06-22 18:52:42.647,1.4528,41.2448,-85.8465
Pataskala,2022-06-22 18:52:33.790,0.6688,40.0110,-82.7155
Clarksburg,2022-06-22 18:52:38.137,2,39.2862,-80.3232
Isla Vista,2022-06-22 18:52:50.257,35.264,34.4128,-119.8614
Shively,2022-06-22 18:52:47.567,4.2464,38.1970,-85.8136
Warrington,2022-06-22 18:52:46.283,2.8,30.3835,-87.2946
Payson,2022-06-22 18:52:55.227,1.0016,34.2433,-111.3195
Conyers,2022-06-22 18:52:47.177,1.6512,33.6646,-83.9966
Lady Lake,2022-06-22 18:52:49.600,2.336,28.9241,-81.9299
Ocean Pointe,2022-06-22 18:53:11.613,9.5744,21.3145,-158.0289
North Arlington,2022-06-22 18:52:33.280,7.7984,40.7874,-74.1273
Jasper,2022-06-22 18:52:41.017,1.4592,38.3933,-86.9402
La Palma,2022-06-22 18:52:52.957,10.864,33.8504,-118.0407
White Oak,2022-06-22 18:52:38.217,6.192,39.0451,-76.9885
Elkton,2022-06-22 18:52:38.007,2.176,39.6066,-75.8209
Canyon,2022-06-22 18:52:51.550,2.4608,34.9911,-101.9190
Parlier,2022-06-22 18:52:52.693,8.0224,36.6087,-119.5434
Overland,2022-06-22 18:52:42.113,4.4032,38.6966,-90.3689
Fillmore,2022-06-22 18:52:52.840,5.8464,34.3989,-118.9174
Niceville,2022-06-22 18:52:47.380,1.4752,30.5290,-86.4748
Mastic Beach,2022-06-22 18:52:37.460,3.936,40.7664,-72.8369
Wilmington Island,2022-06-22 18:53:01.830,2.32,32.0033,-80.9752
Lakeway,2022-06-22 18:52:53.263,1.5232,30.3544,-97.9864
Hermitage,2022-06-22 18:52:33.103,0.6528,41.2305,-80.4413
Mitchell,2022-06-22 18:52:35.013,1.712,43.7294,-98.0337
West University Place,2022-06-22 18:52:54.577,9.6096,29.7157,-95.4321
Bridgeview,2022-06-22 18:52:42.510,4.656,41.7403,-87.8067
Frankfort,2022-06-22 18:52:40.727,2.3872,40.2810,-86.5212
Mebane,2022-06-22 18:52:47.697,1.8528,36.0852,-79.2736
Hot Springs Village,2022-06-22 18:52:45.957,0.3328,34.6566,-92.9643
La Grange,2022-06-22 18:52:43.627,7.6096,41.8072,-87.8741
Dixon,2022-06-22 18:52:39.420,2.4768,41.8439,-89.4794
Dentsville,2022-06-22 18:52:45.460,2.8672,34.0754,-80.9547
Asbury Park,2022-06-22 18:52:36.053,13.4304,40.2226,-74.0119
Groves,2022-06-22 18:52:53.287,3.7024,29.9457,-93.9164
Traverse City,2022-06-22 18:52:36.317,2.3168,44.7546,-85.6038
The Dalles,2022-06-22 18:52:53.583,2.8768,45.6053,-121.1818
Middleburg Heights,2022-06-22 18:52:32.983,2.3744,41.3696,-81.8150
Longwood,2022-06-22 18:52:48.327,3.488,28.7014,-81.3487
Coto de Caza,2022-06-22 18:53:00.733,2.4544,33.5959,-117.5860
Dickson,2022-06-22 18:52:46.837,0.944,36.0637,-87.3665
Azalea Park,2022-06-22 18:52:46.453,6.272,28.5473,-81.2956
Pacific Grove,2022-06-22 18:52:52.730,6.6688,36.6188,-121.9259
Colonial Park,2022-06-22 18:52:37.767,3.7856,40.2987,-76.8069
Riverdale,2022-06-22 18:52:47.187,4.32,33.5639,-84.4103
Tanque Verde,2022-06-22 18:52:51.860,0.5888,32.2687,-110.7437
Hueytown,2022-06-22 18:52:47.167,0.9696,33.4239,-87.0220
Seymour,2022-06-22 18:52:45.757,1.1904,35.8783,-83.7669
Addison,2022-06-22 18:52:54.427,4.3776,32.9590,-96.8355
Fullerton,2022-06-22 18:53:07.347,5.184,40.6309,-75.4834
Grosse Pointe Woods,2022-06-22 18:52:36.350,5.872,42.4366,-82.8987
Talladega,2022-06-22 18:52:40.613,0.7296,33.4333,-86.0986
Glasgow,2022-06-22 18:52:37.940,1.9168,39.6015,-75.7473
Powder Springs,2022-06-22 18:52:47.127,2.576,33.8659,-84.6840
Three Lakes,2022-06-22 18:53:01.380,5.9232,25.6415,-80.4000
Welby,2022-06-22 18:53:00.820,5.1232,39.8403,-104.9655
Wilkinsburg,2022-06-22 18:52:33.647,8.4256,40.4442,-79.8733
Berkley,2022-06-22 18:52:34.807,7.2512,42.4986,-83.1853
Centerton,2022-06-22 18:52:46.810,1.3952,36.3566,-94.2971
Clarksdale,2022-06-22 18:52:47.067,1.008,34.1933,-90.5693
Westbury,2022-06-22 18:52:37.703,8.0864,40.7599,-73.5891
Clearlake,2022-06-22 18:53:00.510,1.8688,38.9589,-122.6330
Americus,2022-06-22 18:52:46.210,1.6672,32.0736,-84.2248
Chubbuck,2022-06-22 18:52:51.037,3.1456,42.9263,-112.4623
Bradley,2022-06-22 18:52:44.063,2.7264,41.1641,-87.8452
St. Simons,2022-06-22 18:52:46.243,1.1456,31.1775,-81.3857
Bemidji,2022-06-22 18:52:38.970,1.2928,47.4828,-94.8797
Salida,2022-06-22 18:52:51.277,8.5088,37.7083,-121.0842
Bay Village,2022-06-22 18:52:35.763,4.128,41.4851,-81.9317
Ladson,2022-06-22 18:52:46.623,2.6784,33.0093,-80.1078
East Rancho Dominguez,2022-06-22 18:53:00.737,22.944,33.8949,-118.1956
Hartford,2022-06-22 18:52:35.200,2.2336,43.3223,-88.3784
Great Bend,2022-06-22 18:52:34.027,1.7888,38.3593,-98.8015
Jamestown,2022-06-22 18:52:32.523,1.4144,46.9063,-98.6937
Front Royal,2022-06-22 18:52:38.417,1.8272,38.9260,-78.1838
Northview,2022-06-22 18:52:36.677,1.824,43.0427,-85.6016
Rutland,2022-06-22 18:52:35.003,2.4864,43.6092,-72.9783
Elk Plain,2022-06-22 18:53:09.917,2.2368,47.0425,-122.3663
Bellair-Meadowbrook Terrace,2022-06-22 18:53:46.217,4.5664,30.1796,-81.7375
Graham,2022-06-22 18:52:45.730,1.8816,36.0589,-79.3894
Brooklyn Park,2022-06-22 18:53:03.683,4.448,39.2170,-76.6174
Newton,2022-06-22 18:52:40.540,1.6576,41.6963,-93.0403
Seaford,2022-06-22 18:52:37.647,7.1712,40.6678,-73.4922
Olivehurst,2022-06-22 18:52:51.170,2.224,39.0795,-121.5566
Beech Grove,2022-06-22 18:52:39.677,4.1856,39.7157,-86.0871
New Cassel,2022-06-22 18:52:37.610,12.528,40.7602,-73.5649
Weston,2022-06-22 18:53:10.463,0.864,44.8906,-89.5487
Mineral Wells,2022-06-22 18:52:53.060,0.9152,32.8169,-98.0776
Henderson,2022-06-22 18:52:46.803,2.1664,36.3256,-78.4151
Laurinburg,2022-06-22 18:52:47.000,1.488,34.7602,-79.4773
Hollins,2022-06-22 18:52:38.810,2.1696,37.3434,-79.9534
Glenmont,2022-06-22 18:52:56.860,6.6656,39.0698,-77.0467
Groveland,2022-06-22 18:52:46.427,0.9472,28.6098,-81.8246
Berea,2022-06-22 18:52:45.867,2.4224,34.8802,-82.4650
Lemon Hill,2022-06-22 18:53:48.293,11.376,38.5172,-121.4573
Greenwood Village,2022-06-22 18:52:52.583,2.256,39.6153,-104.9131
Kenmore,2022-06-22 18:52:36.757,12.976,42.9646,-78.8713
Depew,2022-06-22 18:52:36.767,3.6672,42.9118,-78.7043
Mastic,2022-06-22 18:52:37.460,4.8192,40.8096,-72.8479
West Park,2022-06-22 18:52:48.373,8.4576,25.9840,-80.1923
Hayden,2022-06-22 18:52:52.177,1.7824,47.7680,-116.8040
Newport,2022-06-22 18:52:46.630,6.7456,39.0856,-84.4868
Stone Ridge,2022-06-22 18:53:14.237,7.184,38.9294,-77.5557
Belvedere Park,2022-06-22 18:52:46.070,3.7888,33.7489,-84.2599
Vandalia,2022-06-22 18:52:36.157,1.5008,39.8791,-84.1930
Hugo,2022-06-22 18:52:39.110,0.5536,45.1671,-92.9588
West Haven,2022-06-22 18:52:53.713,1.7408,41.2083,-112.0541
Highland Springs,2022-06-22 18:52:38.760,2.3232,37.5516,-77.3285
North Fair Oaks,2022-06-22 18:53:00.697,15.4848,37.4754,-122.2034
Eden,2022-06-22 18:52:45.680,1.3024,36.5027,-79.7412
Lockhart,2022-06-22 18:52:46.467,4.1664,28.6270,-81.4354
Worthington,2022-06-22 18:52:42.893,3.376,40.0950,-83.0209
Alpine,2022-06-22 18:52:50.383,0.688,32.8439,-116.7585
North New Hyde Park,2022-06-22 18:52:37.613,9.2768,40.7460,-73.6876
Hershey,2022-06-22 18:52:37.770,1.2896,40.2806,-76.6458
Greeneville,2022-06-22 18:52:48.470,1.0848,36.1680,-82.8197
Candelaria,2022-06-20 08:32:56.060,6.1408,18.4042,-66.2175
Susanville,2022-06-22 18:52:53.717,2.3264,40.4206,-120.6132
Kerman,2022-06-22 18:52:52.693,5.6416,36.7248,-120.0625
Ramsey,2022-06-22 18:52:33.267,3.3472,41.0595,-74.1454
Anderson Creek,2022-06-22 18:54:01.723,0.944,35.2657,-78.9580
Jackson,2022-06-22 18:52:41.107,1.712,37.3792,-89.6522
Sun Lakes,2022-06-22 18:52:51.683,3.4208,33.2172,-111.8695
Sunset,2022-06-22 18:53:01.453,5.232,25.7060,-80.3530
Natchez,2022-06-22 18:52:47.320,1.1584,31.5437,-91.3867
West Richland,2022-06-22 18:52:53.537,0.8288,46.3115,-119.3999
Glen Allen,2022-06-22 18:52:38.760,2.0832,37.6660,-77.4838
Kilgore,2022-06-22 18:52:53.117,0.9824,32.3980,-94.8602
Oldsmar,2022-06-22 18:52:47.480,2.0448,28.0506,-82.6698
Kemp Mill,2022-06-22 18:52:38.213,7.2896,39.0412,-77.0215
Jacksonville,2022-06-22 18:52:51.887,1.2864,31.9642,-95.2617
Eggertsville,2022-06-22 18:52:56.430,6.3936,42.9665,-78.8065
Bluffdale,2022-06-22 18:52:51.117,1.6416,40.4744,-111.9381
Salem Lakes,2022-06-22 18:53:10.477,0.5984,42.5366,-88.1306
Great Falls,2022-06-22 18:52:38.397,0.72,39.0110,-77.3013
Tonawanda,2022-06-22 18:52:36.750,4.8032,43.0105,-78.8805
Fort Leonard Wood,2022-06-22 18:53:46.127,0.7904,37.7562,-92.1274
Grovetown,2022-06-22 18:52:46.117,3.4624,33.4503,-82.2073
Sterling,2022-06-22 18:52:41.570,3.1488,41.7996,-89.6956
Gloversville,2022-06-22 18:52:32.747,3.616,43.0491,-74.3465
Mount Vernon,2022-06-22 18:52:41.023,1.2512,38.3140,-88.9174
South Farmingdale,2022-06-22 18:52:37.647,8.3168,40.7175,-73.4473
Hobe Sound,2022-06-22 18:52:46.557,2.5664,27.0729,-80.1425
Whitewater,2022-06-22 18:52:34.847,2.0608,42.8372,-88.7341
Lebanon,2022-06-22 18:52:41.080,1.2416,37.6717,-92.6603
California,2022-06-22 18:52:38.597,1.4144,38.2969,-76.4949
Lamont,2022-06-22 18:52:50.197,3.8016,35.2659,-118.9159
Bradley Gardens,2022-06-22 18:53:05.603,4.0448,40.5711,-74.6678
Hewitt,2022-06-22 18:52:53.180,2.5856,31.4520,-97.1960
Franklin Park,2022-06-22 18:52:33.567,1.3408,40.5903,-80.0999
Lynden,2022-06-22 18:52:52.123,3.3408,48.9502,-122.4545
Mount Washington,2022-06-22 18:52:46.693,1.9424,38.0430,-85.5551
Carthage,2022-06-22 18:52:40.000,1.5584,37.1503,-94.3225
Hereford,2022-06-22 18:52:52.833,2.88,34.8225,-102.4001
Callaway,2022-06-22 18:52:46.327,1.9264,30.1349,-85.5568
Hampton Bays,2022-06-22 18:52:37.447,1.4016,40.8695,-72.5225
Jennings,2022-06-22 18:52:40.967,4.8544,38.7231,-90.2644
Groveton,2022-06-22 18:52:38.400,4.1664,38.7605,-77.0980
Scottsbluff,2022-06-22 18:52:41.567,2.7296,41.8684,-103.6616
Sharonville,2022-06-22 18:52:33.983,1.8464,39.2825,-84.4071
Yankton,2022-06-22 18:52:35.427,2.1024,42.8901,-97.3927
Greenlawn,2022-06-22 18:52:37.443,4.7136,40.8632,-73.3646
Ferndale,2022-06-22 18:52:52.120,2.5632,48.8526,-122.5894
Thibodaux,2022-06-22 18:52:48.317,2.6464,29.7949,-90.8146
Roanoke Rapids,2022-06-22 18:52:46.807,1.8144,36.4452,-77.6490
Saraland,2022-06-22 18:52:48.257,0.5568,30.8479,-88.1004
Gantt,2022-06-22 18:52:45.863,1.8368,34.7837,-82.4027
Tenafly,2022-06-22 18:52:33.287,3.9168,40.9176,-73.9532
Corinth,2022-06-22 18:52:47.007,0.5952,34.9474,-88.5143
Luling,2022-06-22 18:52:46.350,0.768,29.9008,-90.3523
Alexander City,2022-06-22 18:52:46.157,0.4096,32.9229,-85.9358
Spring Creek,2022-06-22 18:52:51.073,0.3328,40.7450,-115.5983
Fraser,2022-06-22 18:52:34.790,4.3264,42.5388,-82.9496
Paradise Valley,2022-06-22 18:52:55.283,1.1648,33.5434,-111.9595
Thonotosassa,2022-06-22 18:52:46.523,0.6752,28.0464,-82.2910
Batavia,2022-06-22 18:52:32.757,3.4432,42.9987,-78.1802
Destin,2022-06-22 18:52:47.377,2.32,30.3950,-86.4701
College Park,2022-06-22 18:52:47.107,1.6128,33.6363,-84.4640
Summerfield,2022-06-22 18:53:11.900,4.912,38.9042,-76.8678
Owosso,2022-06-22 18:52:35.437,3.4048,42.9955,-84.1760
Norridge,2022-06-22 18:52:43.673,9.8848,41.9637,-87.8231
Midlothian,2022-06-22 18:52:43.667,6.336,41.6254,-87.7243
Mill Valley,2022-06-22 18:52:52.630,3.7344,37.9086,-122.5421
Scottsboro,2022-06-22 18:52:37.977,0.352,34.6438,-86.0491
North Auburn,2022-06-22 18:53:00.760,2.2912,38.9306,-121.0820
Sterling,2022-06-22 18:52:53.747,2.3488,40.6205,-103.1925
Hartselle,2022-06-22 18:52:45.963,1.072,34.4391,-86.9396
Villas,2022-06-22 18:53:01.463,3.8496,26.5504,-81.8678
Morris,2022-06-22 18:52:40.613,1.7952,41.3749,-88.4304
Rio Grande City,2022-06-22 18:52:53.387,1.568,26.3808,-98.8215
Colesville,2022-06-22 18:52:38.200,3.4752,39.0730,-77.0010
Glasgow,2022-06-22 18:52:45.637,1.12,37.0048,-85.9263
Robbinsdale,2022-06-22 18:52:41.300,6.3616,45.0261,-93.3332
Livingston,2022-06-22 18:52:52.680,4.8384,37.3875,-120.7248
