sensorname,timeline,humidity,lat,lng,state_name
Carolina,2022-06-01 16:27:28.157,8.0064,18.4054,-65.9792,Puerto Rico
Warren,2022-06-01 16:27:28.137,4.8224,42.4934,-83.0270,Michigan
Grand Junction,2022-06-01 16:27:28.023,1.9392,39.0877,-108.5673,Colorado
Coral Springs,2022-06-01 16:27:27.320,7.2064,26.2702,-80.2591,Florida
Columbia,2022-06-01 16:27:26.757,2.2752,38.9472,-92.3268,Missouri
Bloomington,2022-06-01 16:27:26.660,3.5392,40.4757,-88.9703,Illinois
Sterling Heights,2022-06-01 16:27:26.247,4.4832,42.5809,-83.0305,Michigan
Stamford,2022-06-01 16:27:24.007,4.2688,41.1039,-73.5585,Connecticut
Kent,2022-06-01 16:27:23.987,4.7584,47.3887,-122.2128,Washington
Bellingham,2022-06-01 16:27:23.603,3.9872,48.7548,-122.4690,Washington
Las Cruces,2022-06-01 16:27:23.487,1.6512,32.3265,-106.7893,New Mexico
Greenville,2022-06-01 16:27:23.323,3.1328,35.5943,-77.3760,North Carolina
Round Rock,2022-06-01 16:27:22.763,4.2272,30.5270,-97.6642,Texas
Elizabeth,2022-06-01 16:27:22.433,12.8864,40.6658,-74.1913,New Jersey
South Lyon,2022-06-01 16:27:22.020,3.9008,42.4614,-83.6526,Michigan
Simi Valley,2022-06-01 16:27:20.733,3.7376,34.2663,-118.7490,California
Santa Clara,2022-06-01 16:27:20.673,8.5664,37.3646,-121.9680,California
Yakima,2022-06-01 16:27:20.437,4.1664,46.5923,-120.5496,Washington
Johnson City,2022-06-01 16:27:20.217,1.9072,36.3406,-82.3806,Tennessee
Dover,2022-06-01 16:27:19.880,1.9744,39.1610,-75.5202,Delaware
Pearland,2022-06-01 16:27:19.767,3.1936,29.5581,-95.3218,Texas
Lynchburg,2022-06-01 16:27:19.660,2.0416,37.4003,-79.1909,Virginia
Fort Smith,2022-06-01 16:27:19.257,1.6928,35.3495,-94.3695,Arkansas
Yuba City,2022-06-01 16:27:18.767,5.4976,39.1357,-121.6383,California
Lehigh Acres,2022-06-01 16:27:18.473,1.6576,26.6120,-81.6388,Florida
Kenosha,2022-06-01 16:27:17.817,4.3488,42.5865,-87.8773,Wisconsin
Arecibo,2022-06-01 16:27:17.450,3.104,18.4491,-66.7387,Puerto Rico
Berkeley,2022-06-01 16:27:17.017,14.5728,37.8722,-122.2760,California
Boulder,2022-06-01 16:27:16.500,5.104,40.0248,-105.2524,Colorado
Texas City,2022-06-01 16:27:15.967,0.9216,29.4154,-94.9682,Texas
Iowa City,2022-06-01 16:27:14.877,3.6608,41.6559,-91.5303,Iowa
Waldorf,2022-06-01 16:27:14.657,2.6464,38.6085,-76.9194,Maryland
East Los Angeles,2022-06-01 16:27:14.453,19.9744,34.0326,-118.1691,California
Redding,2022-06-01 16:27:14.320,1.904,40.5698,-122.3650,California
Arvada,2022-06-01 16:27:14.180,3.8176,39.8320,-105.1510,Colorado
The Villages,2022-06-01 16:27:13.247,3.0816,28.9034,-81.9887,Florida
Saginaw,2022-06-01 16:27:12.797,3.4976,43.4199,-83.9501,Michigan
Ponce,2022-06-01 16:27:12.590,4.7904,18.0127,-66.6212,Puerto Rico
Richardson,2022-06-01 16:27:12.533,5.1264,32.9716,-96.7093,Texas
Sugar Land,2022-06-01 16:27:12.513,3.6192,29.5935,-95.6358,Texas
Leominster,2022-06-01 16:27:12.140,1.7824,42.5209,-71.7717,Massachusetts
St. Cloud,2022-06-01 16:27:12.090,2.112,45.5340,-94.1718,Minnesota
Duluth,2022-06-01 16:27:11.883,1.4784,46.7756,-92.1393,Minnesota
Cambridge,2022-06-01 16:27:11.773,22.768,42.3759,-71.1185,Massachusetts
Monroe,2022-06-01 16:27:11.147,1.9936,32.5185,-92.0774,Louisiana
Independence,2022-06-01 16:27:11.090,1.8528,39.0871,-94.3501,Missouri
Rochester,2022-06-01 16:27:10.913,2.6048,44.0154,-92.4780,Minnesota
Rock Hill,2022-06-01 16:27:10.697,2.3552,34.9415,-81.0241,South Carolina
Bloomington,2022-06-01 16:27:10.567,4.5024,39.1637,-86.5257,Indiana
Billings,2022-06-01 16:27:10.543,3.024,45.7891,-108.5526,Montana
Seaside,2022-06-01 16:27:10.140,4.7136,36.6224,-121.8199,California
Clearwater,2022-06-01 16:27:09.927,5.4912,27.9790,-82.7623,Florida
Brandon,2022-06-01 16:27:09.860,4.32,27.9367,-82.3000,Florida
Burlington,2022-06-01 16:27:09.633,5.1072,44.4876,-73.2316,Vermont
Pottstown,2022-06-01 16:27:09.363,5.7632,40.2508,-75.6445,Pennsylvania
Waterloo,2022-06-01 16:27:09.217,1.3568,42.4918,-92.3522,Iowa
West Jordan,2022-06-01 16:27:09.130,4.4,40.6024,-112.0008,Utah
Coeur d'Alene,2022-06-01 16:27:08.830,3.9488,47.7040,-116.7936,Idaho
Westminster,2022-06-01 16:27:08.783,4.4896,39.8837,-105.0624,Colorado
St. George,2022-06-01 16:27:08.563,1.3728,37.0758,-113.5752,Utah
Gilroy,2022-06-01 16:27:08.410,4.1248,37.0046,-121.5854,California
Carlsbad,2022-06-01 16:27:08.360,3.7408,33.1246,-117.2834,California
El Monte,2022-06-01 16:27:07.867,14.7264,34.0739,-118.0291,California
North Charleston,2022-06-01 16:27:07.830,1.8112,32.9067,-80.0722,South Carolina
Chico,2022-06-01 16:27:07.150,3.5712,39.7578,-121.8161,California
Temecula,2022-06-01 16:27:07.067,3.7472,33.4928,-117.1315,California
Costa Mesa,2022-06-01 16:27:06.907,8.8288,33.6667,-117.9135,California
Utica,2022-06-01 16:27:06.897,4.4288,43.0962,-75.2261,New York
Clovis,2022-06-01 16:27:06.613,5.4752,36.8278,-119.6830,California
Norman,2022-06-01 16:27:06.527,0.8544,35.2335,-97.3471,Oklahoma
Elgin,2022-06-01 16:27:06.013,3.6384,42.0383,-88.3240,Illinois
Centennial,2022-06-01 16:27:05.280,4.6272,39.5926,-104.8673,Colorado
Lowell,2022-06-01 16:27:05.260,10.1024,42.6389,-71.3217,Massachusetts
Downey,2022-06-01 16:27:05.213,11.0784,33.9379,-118.1311,California
Pompano Beach,2022-06-01 16:27:05.153,5.7184,26.2428,-80.1312,Florida
West Palm Beach,2022-06-01 16:27:04.957,2.5472,26.7469,-80.1320,Florida
Abilene,2022-06-01 16:27:04.943,1.4432,32.4543,-99.7384,Texas
Everett,2022-06-01 16:27:04.790,4.1248,47.9525,-122.1669,Washington
Miami Gardens,2022-06-01 16:27:04.717,7.5072,25.9433,-80.2426,Florida
Gresham,2022-06-01 16:27:04.407,5.8144,45.5021,-122.4413,Oregon
El Centro,2022-06-01 16:27:04.383,4.576,32.7865,-115.5595,California
Richmond,2022-06-01 16:27:04.000,4.5216,37.9477,-122.3389,California
Inglewood,2022-06-01 16:27:03.260,14.8928,33.9566,-118.3444,California
Salisbury,2022-06-01 16:27:02.933,2.944,38.3756,-75.5865,Maryland
Broken Arrow,2022-06-01 16:27:02.827,2.1344,36.0380,-95.7806,Oklahoma
San Buenaventura,2022-06-01 16:27:02.417,6.1216,34.2741,-119.2314,California
Sandy Springs,2022-06-01 16:27:02.130,3.5488,33.9366,-84.3703,Georgia
Hillsboro,2022-06-01 16:27:01.977,5.1968,45.5273,-122.9360,Oregon
Sioux City,2022-06-01 16:27:01.883,1.744,42.4959,-96.3901,Iowa
Jacksonville,2022-06-01 16:27:01.840,1.8848,34.7289,-77.3941,North Carolina
Meridian,2022-06-01 16:27:01.737,3.7952,43.6116,-116.3977,Idaho
Lewisville,2022-06-01 16:27:01.690,3.5968,33.0454,-96.9815,Texas
Bend,2022-06-01 16:27:01.410,3.5648,44.0563,-121.3095,Oregon
Daly City,2022-06-01 16:27:01.147,17.3376,37.6862,-122.4685,California
Highlands Ranch,2022-06-01 16:27:00.967,5.4464,39.5419,-104.9708,Colorado
Jurupa Valley,2022-06-01 16:27:00.597,3.0656,34.0010,-117.4706,California
Temple,2022-06-01 16:27:00.283,1.328,31.1068,-97.3891,Texas
Logan,2022-06-01 16:27:00.270,3.5488,41.7399,-111.8422,Utah
Kailua,2022-06-01 16:27:00.210,6.0224,21.3920,-157.7396,Hawaii
West Covina,2022-06-01 16:26:59.757,8.1504,34.0555,-117.9113,California
Davie,2022-06-01 16:26:59.543,3.7376,26.0789,-80.2870,Florida
Columbia,2022-06-01 16:26:59.363,4.0768,39.2004,-76.8590,Maryland
League City,2022-06-01 16:26:59.360,2.5376,29.4874,-95.1087,Texas
Mandeville,2022-06-01 16:26:59.047,2.1792,30.3751,-90.0904,Louisiana
San Tan Valley,2022-06-01 16:26:58.887,1.7088,33.1786,-111.5629,Arizona
Turlock,2022-06-01 16:26:58.670,5.312,37.5053,-120.8588,California
Norwalk,2022-06-01 16:26:58.473,13.3024,33.9069,-118.0829,California
Allen,2022-06-01 16:26:57.990,4.8672,33.1088,-96.6735,Texas
San Germán,2022-06-01 16:26:57.697,4.064,18.0827,-67.0460,Puerto Rico
San Mateo,2022-06-01 16:26:57.570,10.5504,37.5522,-122.3121,California
Rialto,2022-06-01 16:26:57.500,5.3088,34.1175,-117.3892,California
Burbank,2022-06-01 16:26:57.360,7.376,34.1879,-118.3235,California
El Cajon,2022-06-01 16:26:57.200,8.7904,32.8017,-116.9604,California
Eau Claire,2022-06-01 16:26:57.147,2.5824,44.8197,-91.4948,Wisconsin
Sparks,2022-06-01 16:26:56.847,3.488,39.5736,-119.7161,Nevada
Charlottesville,2022-06-01 16:26:56.113,5.6928,38.0375,-78.4855,Virginia
Renton,2022-06-01 16:26:55.820,5.36,47.4784,-122.1918,Washington
Idaho Falls,2022-06-01 16:26:55.277,3.2128,43.4871,-112.0362,Idaho
Vista,2022-06-01 16:26:54.610,6.6336,33.1896,-117.2386,California
Holland,2022-06-01 16:26:54.153,2.4672,42.7677,-86.0984,Michigan
Longmont,2022-06-01 16:26:54.097,4.1152,40.1686,-105.1005,Colorado
Wichita Falls,2022-06-01 16:26:53.957,1.7952,33.9072,-98.5291,Texas
Lafayette,2022-06-01 16:26:53.427,3.744,39.9946,-105.0998,Colorado
Vacaville,2022-06-01 16:26:53.347,4.1344,38.3587,-121.9673,California
Spokane Valley,2022-06-01 16:26:53.227,3.2512,47.6626,-117.2346,Washington
La Crosse,2022-06-01 16:26:53.177,2.9312,43.8241,-91.2268,Wisconsin
Carmel,2022-06-01 16:26:53.080,2.4928,39.9650,-86.1460,Indiana
Boca Raton,2022-06-01 16:26:52.727,4.1824,26.3752,-80.1080,Florida
Longview,2022-06-01 16:26:52.727,1.8176,32.5193,-94.7622,Texas
Kingsport,2022-06-01 16:26:52.717,1.2608,36.5224,-82.5454,Tennessee
South Fulton,2022-06-01 16:26:52.537,1.4272,33.6273,-84.5800,Georgia
Beaverton,2022-06-01 16:26:52.517,6.2112,45.4779,-122.8168,Oregon
Rio Rancho,2022-06-01 16:26:51.927,1.168,35.2873,-106.6982,New Mexico
Prescott Valley,2022-06-01 16:26:51.850,1.392,34.5980,-112.3185,Arizona
Orem,2022-06-01 16:26:51.833,6.496,40.2981,-111.6994,Utah
Edinburg,2022-06-01 16:26:51.683,2.6976,26.3196,-98.1597,Texas
San Angelo,2022-06-01 16:26:51.430,2.08,31.4424,-100.4504,Texas
Portsmouth,2022-06-01 16:26:51.407,1.6896,43.0580,-70.7826,New Hampshire
Tracy,2022-06-01 16:26:51.323,4.3648,37.7269,-121.4523,California
Federal Way,2022-06-01 16:26:50.763,5.3632,47.3091,-122.3358,Washington
Lawrence,2022-06-01 16:26:50.643,3.52,38.9597,-95.2642,Kansas
Manteca,2022-06-01 16:26:50.503,4.6816,37.7927,-121.2264,California
San Marcos,2022-06-01 16:26:50.170,4.88,33.1350,-117.1743,California
Sandy,2022-06-01 16:26:50.087,4.9152,40.5709,-111.8506,Utah
Riverview,2022-06-01 16:26:49.800,2.5632,27.8227,-82.3023,Florida
Compton,2022-06-01 16:26:49.753,11.8016,33.8930,-118.2274,California
Brockton,2022-06-01 16:26:49.690,5.5424,42.0821,-71.0242,Massachusetts
Santa Fe,2022-06-01 16:26:49.447,1.9968,35.6619,-105.9819,New Mexico
Hanford,2022-06-01 16:26:49.410,4.0704,36.3274,-119.6549,California
Middletown,2022-06-01 16:26:49.247,2.304,39.5033,-84.3659,Ohio
Hesperia,2022-06-01 16:26:49.113,1.616,34.3975,-117.3147,California
Portsmouth,2022-06-01 16:26:48.910,3.5232,36.8468,-76.3540,Virginia
South Gate,2022-06-01 16:26:48.857,16.2016,33.9447,-118.1926,California
Roswell,2022-06-01 16:26:48.833,2.8768,34.0391,-84.3513,Georgia
Sunrise,2022-06-01 16:26:48.607,7.2192,26.1547,-80.2997,Florida
Bowling Green,2022-06-01 16:26:48.507,2.1888,36.9716,-86.4378,Kentucky
Lee's Summit,2022-06-01 16:26:48.470,1.9136,38.9171,-94.3816,Missouri
Slidell,2022-06-01 16:26:48.447,2.2816,30.2887,-89.7828,Louisiana
Blacksburg,2022-06-01 16:26:48.347,2.7776,37.2300,-80.4279,Virginia
Quincy,2022-06-01 16:26:48.340,7.0368,42.2506,-71.0187,Massachusetts
Plantation,2022-06-01 16:26:48.317,5.36,26.1259,-80.2617,Florida
